16490,13253,300,335,1.35658,0
16491,13254,300,335,1.35658,0
16492,13255,404,496,24.2855,1
16493,13256,404,496,24.2855,1
16494,13257,339,480,26.5801,1
16496,13258,339,480,26.5801,1
16498,13259,339,480,26.5801,1
16500,13260,339,480,26.5801,1
16504,13263,111,426,6.2118,0
16505,13263,425,418,2.90729,0
16506,13264,111,426,6.2118,0
16507,13264,425,418,2.90729,0
16508,13265,111,426,6.2118,0
16509,13265,425,418,2.90729,0
16510,13266,111,426,6.2118,0
16511,13266,425,418,2.90729,0
16512,13267,374,447,12.0755,1
16514,13268,374,447,12.0755,1
16516,13269,374,447,12.0755,1
16518,13270,374,447,12.0755,1
16522,13273,333,356,2.23667,0
16523,13274,333,356,2.23667,0
16524,13275,268,447,21.1548,1
16526,13276,268,447,21.1548,1
16528,13277,268,447,21.1548,1
16530,13278,268,447,21.1548,1
16534,13281,258,523,27.4365,1
16536,13282,258,523,27.4365,1
16538,13283,258,523,27.4365,1
16540,13284,258,523,27.4365,1
16542,13285,469,378,24.5608,1
16543,13286,469,378,24.5608,1
16544,13287,450,294,9.21962,1
16546,13288,450,294,9.21962,1
16548,13289,450,294,9.21962,1
16550,13290,450,294,9.21962,1
16564,13299,522,476,20.8024,1
16565,13300,522,476,20.8024,1
16568,13303,218,337,2.06969,0
16569,13304,218,337,2.06969,0
16570,13305,317,340,1.80276,0
16571,13306,317,340,1.80276,0
16574,13309,279,448,15.6503,0
16575,13310,279,448,15.6503,0
16578,13313,437,527,19.9067,0
16579,13314,437,527,19.9067,0
16602,13329,273,422,85.3333,1
16604,13330,273,422,85.3333,1
16606,13331,273,422,85.3333,1
16608,13332,273,422,85.3333,1
16612,13335,331,407,13.6333,1
16614,13336,331,407,13.6333,1
16616,13337,331,407,13.6333,1
16618,13338,331,407,13.6333,1
16620,13339,299,513,22.7076,0
16622,13340,299,513,22.7076,0
16624,13341,299,513,22.7076,0
16626,13342,299,513,22.7076,0
16692,13367,371,365,3.1707,0
16693,13368,371,365,3.1707,0
16696,13371,439,411,12.2944,1
16697,13371,232,412,14.078,1
16698,13372,439,411,12.2944,1
16699,13372,232,412,14.078,1
16700,13373,439,411,12.2944,1
16701,13373,232,412,14.078,1
16702,13374,439,411,12.2944,1
16703,13374,232,412,14.078,1
16704,13375,260,322,24.2252,0
16705,13376,260,322,24.2252,0
16706,13377,338,424,67.7249,1
16707,13378,338,424,67.7249,1
16708,13379,247,380,10.9073,1
16710,13380,247,380,10.9073,1
16712,13381,247,380,10.9073,1
16714,13382,247,380,10.9073,1
16718,13385,263,342,22.9057,0
